long_fundid,double_gainaby,double_riskaby,long_hitcount
12017103,50.0,50.0,Null
12018611,50.0,50.0,Null
12018618,50.0,50.0,Null
12018617,50.0,50.0,Null
12019002,50.0,50.0,Null
12018620,50.0,50.0,Null
12017117,50.0,50.0,Null
12023969,50.0,50.0,Null
12023965,50.0,50.0,Null
12019017,50.0,50.0,Null
12017123,50.0,50.0,Null
12019016,50.0,50.0,Null
12018638,50.0,50.0,Null
12017108,50.0,50.0,Null
12018636,50.0,50.0,Null
12023979,50.0,50.0,Null
12018640,50.0,50.0,Null
12017114,50.0,50.0,Null
12023971,50.0,50.0,Null
12019024,50.0,50.0,Null
12019023,50.0,50.0,Null
12024513,50.0,50.0,Null
12024512,50.0,50.0,Null
12024520,50.0,50.0,Null
12024501,50.0,50.0,Null
12024502,50.0,50.0,Null
12023819,50.0,50.0,Null
12023811,50.0,50.0,Null
12023800,50.0,50.0,Null
12023826,50.0,50.0,Null
12023825,50.0,50.0,Null
12023822,50.0,50.0,Null
12024598,50.0,50.0,Null
12024581,50.0,50.0,Null
12024582,50.0,50.0,Null
12018381,50.0,50.0,Null
12024545,50.0,50.0,Null
12018399,50.0,50.0,Null
12018369,50.0,50.0,Null
12020049,50.0,50.0,Null
12020042,50.0,50.0,Null
12020045,50.0,50.0,Null
12018359,50.0,50.0,Null
12020039,50.0,50.0,Null
12018361,50.0,50.0,Null
12018348,50.0,50.0,Null
12018355,50.0,50.0,Null
12018356,50.0,50.0,Null
12018338,50.0,50.0,Null
12018342,50.0,50.0,Null
12018345,50.0,50.0,Null
12020014,50.0,50.0,Null
12018329,50.0,50.0,Null
12020002,50.0,50.0,Null
12010670,50.0,50.0,Null
12011310,50.0,50.0,Null
12010679,50.0,50.0,Null
12009262,50.0,50.0,Null
12011300,50.0,50.0,Null
12010682,50.0,50.0,Null
12011302,50.0,50.0,Null
12008510,50.0,50.0,Null
12011309,50.0,50.0,Null
12010688,50.0,50.0,Null
12009252,50.0,50.0,Null
12011307,50.0,50.0,Null
12011306,50.0,50.0,Null
12010653,50.0,50.0,Null
12011331,50.0,50.0,Null
12011336,50.0,50.0,Null
12011337,50.0,50.0,Null
12009238,50.0,50.0,Null
12011322,50.0,50.0,Null
12011325,50.0,50.0,Null
12011324,50.0,50.0,Null
12010661,50.0,50.0,Null
12009231,50.0,50.0,Null
12008530,50.0,50.0,Null
12011327,50.0,50.0,Null
12010668,50.0,50.0,Null
12009228,50.0,50.0,Null
12008921,50.0,50.0,Null
12008917,50.0,50.0,Null
12008902,50.0,50.0,Null
12009591,50.0,50.0,Null
12009593,50.0,50.0,Null
12008967,50.0,50.0,Null
12008968,50.0,50.0,Null
12009579,50.0,50.0,Null
12009570,50.0,50.0,Null
12008956,50.0,50.0,Null
12008954,50.0,50.0,Null
12008953,50.0,50.0,Null
12008958,50.0,50.0,Null
12009584,50.0,50.0,Null
12010114,50.0,50.0,Null
12010115,50.0,50.0,Null
12010117,50.0,50.0,Null
12010902,50.0,50.0,Null
12010903,50.0,50.0,Null
12008946,50.0,50.0,Null
12009555,50.0,50.0,Null
12010101,50.0,50.0,Null
